,numPhotos,price,propertyType,size,exterior,rooms,bathrooms,address,municipality,latitude,longitude,showAddress,distance,hasVideo,status,newDevelopment,hasPlan,has3DTour,has360,topNewDevelopment,floor,district,neighborhood,hasLift
244,33,740.0,flat,62.0,True,2,1,Transcantábrico,Colmenar Viejo,406.500.693,-37.867.419,False,26890,False,good,False,False,False,True,False,1,San Crispín - La Estación Consorcio,Desconocido,True
245,47,700.0,flat,74.0,False,2,1,Calle Rosa Montero,Getafe,403.285.563,-37.235.629,False,9950,True,good,False,True,False,True,False,4,Getafe norte,Desconocido,False
246,22,730.0,flat,35.0,False,1,1,Hernán Cortes,Madrid,404.234.164,-3.701.547,False,760,False,good,False,False,False,False,False,2,Centro,Chueca-Justicia,True
247,25,700.0,studio,28.0,True,0,1,SANTUARIO DE VALVERDE,Madrid,40.503.863,-3.708.243,False,9700,False,good,False,False,False,False,False,3,Fuencarral,Montecarmelo,True
248,28,600.0,chalet,180.0,False,3,2,Meco,Meco,405.533.779,-33.233.069,False,35543,False,good,False,False,False,False,False,Desconocido,Desconocido,Desconocido,True
249,23,750.0,flat,109.0,True,2,2,Hospital,Valdemoro,401.969.978,-36.896.474,False,24455,False,good,False,False,False,False,False,3,Hospital,Desconocido,True
250,16,749.0,flat,38.0,True,1,1,"Calle Peso Hispano, 6",Madrid,403.670.279,-3.743.863,True,6506,False,good,False,False,False,True,False,2,Carabanchel,Pau de Carabanchel,True
251,7,700.0,studio,30.0,False,0,1,Calle de Narciso Serra,Madrid,404.029.147,-36.812.663,False,2411,False,good,False,False,False,False,False,bj,Retiro,Pacífico,True
252,15,667.0,flat,70.0,True,1,1,"Calle Estrella Polar, 2",Parla,402.306.942,-37.574.148,True,21185,False,good,False,False,False,False,False,8,Parla Este,Desconocido,True
253,22,725.0,flat,45.0,False,1,1,Calle de Deyanira,Madrid,404.444.556,-35.859.227,False,10398,False,good,False,False,False,False,False,1,San Blas,Rejas,True
254,21,550.0,penthouse,70.0,True,3,1,Ortega y Gasset,Robledo de Chavela,405.236.154,-42.481.052,False,47595,False,good,False,False,False,False,False,3,Desconocido,Desconocido,False
255,29,695.0,flat,55.0,True,3,1,Calle Real,Parla,402.461.268,-37.689.141,False,19765,True,good,False,True,False,True,False,4,Villayuventus-Renfe,Desconocido,False
256,35,750.0,flat,105.0,True,3,1,"san juan, campo real",Campo Real,403.374.662,-33.794.101,False,28810,False,good,False,False,False,False,False,1,Desconocido,Desconocido,False
257,24,699.0,flat,52.0,True,1,1,"Calle Trole, 9",Madrid,403.809.876,-36.338.528,True,7092,False,good,False,False,False,False,False,3,Puente de Vallecas,Palomeras sureste,True
258,18,750.0,studio,32.0,True,0,1,Calle Caribe,Madrid,404.415.195,-36.538.927,False,5006,True,good,False,False,False,False,False,14,Ciudad Lineal,San Pascual,True
259,14,730.0,flat,80.0,True,3,1,MAESTRO SERRANO,Collado Villalba,406.324.167,-40.173.039,False,35774,False,good,False,False,False,False,False,4,Carlos Ruiz,Desconocido,False
260,27,710.0,flat,30.0,True,1,1,Calle del Ventorrillo,Madrid,404.066.932,-3.706.995,False,1156,True,good,False,True,False,True,False,bj,Centro,Lavapiés-Embajadores,False
261,20,650.0,flat,58.0,True,1,1,"Villalobos, 42",Madrid,403.802.956,-36.521.582,True,5924,False,good,False,False,False,False,False,4,Puente de Vallecas,Palomeras sureste,True
262,19,600.0,countryHouse,60.0,False,2,2,"Camino de la zarzuela 42, 95",Villaviciosa de Odón,403.095.217,-39.461.034,True,23776,True,renew,False,False,False,False,False,Desconocido,Centro,Desconocido,True
263,28,740.0,flat,41.0,True,2,1,Calle Milmarcos,Madrid,403.771.936,-36.192.667,False,8358,True,good,False,True,False,True,False,3,Villa de Vallecas,Casco Histórico de Vallecas,False
264,25,525.0,flat,40.0,True,1,1,Calle de Alpajés,Aranjuez,400.381.958,-35.959.919,False,43059,True,good,False,True,False,True,False,3,Foso-Moreras,Desconocido,True
265,11,750.0,studio,35.0,True,0,1,Calle de Juan Álvarez Mendizábal,Madrid,404.255.032,-37.128.468,False,1272,False,good,False,False,False,False,False,4,Moncloa,Argüelles,False
266,28,750.0,flat,74.0,True,3,1,Calle Diego Ros y Medrano,Alcalá de Henares,404.881.971,-3.370.613,False,29245,True,good,False,True,False,True,False,2,Chorrillo,Desconocido,True
267,25,710.0,flat,69.0,True,3,1,Calle Pinzón,Alcalá de Henares,404.731.862,-33.754.457,False,28440,True,good,False,True,False,True,False,5,Reyes Católicos,Desconocido,True
