,numPhotos,price,propertyType,size,exterior,rooms,bathrooms,municipality,showAddress,distance,hasVideo,status,newDevelopment,hasPlan,has3DTour,has360,topNewDevelopment,floor,district,neighborhood,hasLift
271,12,750.0,flat,60.0,True,2,1,Madrid,False,2591,False,good,False,False,False,False,False,Desconocido,Latina,Puerta del Ángel,False
272,5,750.0,flat,42.0,False,1,1,Madrid,True,2762,False,good,False,False,False,False,False,4,Arganzuela,Delicias,True
273,15,750.0,studio,90.0,True,0,1,Madrid,False,7228,False,good,False,False,False,False,False,4,San Blas,Simancas,True
274,16,650.0,studio,45.0,False,0,1,Madrid,True,3807,True,good,False,True,False,False,False,bj,Chamartín,Prosperidad,True
275,21,650.0,flat,59.0,True,1,1,Parla,False,20637,True,good,False,False,False,False,False,2,El Nido-Las Fuentes,Desconocido,True
276,61,670.0,flat,75.0,True,2,1,Arganda,False,27056,False,good,False,False,False,False,False,3,El Mirador - Grillero,Desconocido,True
277,16,650.0,flat,45.0,True,1,1,Getafe,True,12383,False,newdevelopment,True,True,False,False,False,2,La Alhóndiga,Desconocido,True
278,7,750.0,flat,32.0,True,1,1,Madrid,False,5339,False,good,False,False,False,False,False,2,Puente de Vallecas,Palomeras Bajas,True
279,19,725.0,flat,50.0,True,1,1,Madrid,False,5564,False,good,False,False,False,False,False,Desconocido,Desconocido,Desconocido,False
280,17,620.0,studio,20.0,False,0,1,Madrid,True,1893,False,good,False,False,False,False,False,1,Arganzuela,Palos de Moguer,True
281,17,680.0,flat,35.0,True,1,1,Madrid,True,3308,False,good,False,False,False,False,False,bj,Carabanchel,San Isidro,False
282,7,750.0,flat,87.0,True,3,1,Coslada,False,12519,False,good,False,False,False,False,False,bj,La Espinilla - Parque Blanco,Desconocido,True
283,16,670.0,flat,53.0,True,1,1,Getafe,True,12383,False,newdevelopment,True,True,False,False,False,1,La Alhóndiga,Desconocido,True
284,28,600.0,flat,75.0,True,3,1,Alcalá de Henares,False,28756,False,good,False,True,False,False,False,Desconocido,Desconocido,Desconocido,False
285,11,750.0,flat,70.0,True,2,1,Alcorcón,False,12614,False,good,False,False,False,False,False,4,Centro,Zona Centro Joven,False
286,15,700.0,flat,36.0,True,2,1,Pozuelo de Alarcón,False,9525,False,good,False,False,False,False,False,3,Zona Pueblo,Zona Pueblo,False
287,13,695.0,flat,58.0,False,1,1,Madrid,False,5659,True,good,False,True,False,True,False,1,Carabanchel,Puerta Bonita,True
288,28,710.0,flat,66.0,True,1,1,Arganda,False,25013,False,good,False,False,False,False,False,2,Centro,Desconocido,True
289,23,620.0,flat,80.0,True,2,1,Bustarviejo,False,49280,False,good,False,False,False,False,False,2,Desconocido,Desconocido,False
290,22,700.0,flat,80.0,True,3,1,Collado Mediano,True,40907,False,good,False,False,False,False,False,1,Desconocido,Desconocido,False
291,47,715.0,flat,89.0,True,3,1,Chinchón,False,39316,False,good,False,False,False,False,False,bj,Desconocido,Desconocido,False
292,21,750.0,flat,50.0,True,1,1,Madrid,True,11203,False,good,False,False,False,False,False,1,Villa de Vallecas,Ensanche de Vallecas - La Gavia,True
293,11,750.0,flat,45.0,True,1,1,Madrid,False,8426,False,good,False,True,False,False,False,2,Hortaleza,Pinar del Rey,True
294,20,550.0,studio,25.0,False,0,1,Madrid,False,4650,False,good,False,False,False,False,False,bj,Tetuán,Berruguete,False
295,22,730.0,flat,60.0,True,1,1,Colmenar Viejo,False,27803,False,good,False,False,False,False,False,Desconocido,Centro,Desconocido,False
296,28,750.0,penthouse,46.0,True,2,1,Madrid,False,3889,False,good,False,False,False,False,False,4,Puente de Vallecas,Numancia,True
297,16,700.0,flat,45.0,True,1,1,Coslada,False,13887,False,good,False,False,False,False,False,bj,Ciudad 70,Desconocido,False
298,15,680.0,flat,85.0,True,2,1,Coslada,False,13303,False,renew,False,False,False,False,False,bj,Valleaguado - La Cañada,Desconocido,True
299,19,600.0,flat,28.0,False,1,1,Madrid,True,4418,True,good,False,False,False,False,False,4,Tetuán,Bellas Vistas,False
300,21,750.0,flat,80.0,True,2,1,Colmenarejo,False,30995,False,good,False,False,False,False,False,1,Desconocido,Desconocido,False
301,4,700.0,flat,62.0,True,1,1,Alcorcón,False,13040,False,good,False,False,False,False,False,2,Centro,Casco Antiguo,True
302,18,690.0,flat,77.0,True,2,1,Madrid,True,7283,False,good,False,False,False,False,False,bj,Carabanchel,Buena Vista,True
303,15,700.0,flat,50.0,True,1,1,Madrid,False,7844,False,good,False,False,False,False,False,bj,Fuencarral,Tres Olivos - Valverde,False
304,13,750.0,flat,87.0,True,2,1,Coslada,True,13773,False,good,False,False,False,False,False,5,Ciudad 70,Desconocido,True
305,15,735.0,flat,51.0,True,1,1,Getafe,False,14023,False,good,False,False,False,False,False,4,Buenavista,Desconocido,True
306,15,700.0,flat,80.0,True,3,1,Móstoles,True,17777,False,good,False,False,False,False,False,5,Suroeste,Desconocido,True
307,17,725.0,flat,75.0,True,3,1,Fuenlabrada,False,16247,False,good,False,False,False,False,False,Desconocido,Centro,Desconocido,False
308,20,733.0,flat,68.4,True,2,1,Alcalá de Henares,False,28541,False,good,False,False,True,False,False,2,Las Sedas - El Olivar,Desconocido,True
